主题（动宾）,正文(可缺省),分类,场景标签,时间
给大学生的50条建议：,"给即将踏入社会的学弟学妹们：
        ♦珍惜应届生的身份，能考公就考，能考选调就不要考普通公务员，选调能定向就定向
        ♦找工作时以任何理由收费的千万别去，小到体检费之类的，涉及钱财多个心眼，别轻易相信中介的话，遇到没听过名字的公司千万查清楚，小公司面试记得录音
        ♦关于租房，最好和朋友一起去看房，一是安全，二是可以试一下房间隔音。遇到心仪的房子，一定记得录好视频，拍下有瑕疵的地方，防止退房的时候和房东扯皮被冤枉扣钱。看房时的床试一下（省得睡觉时突然发现一个大洞），一定要看房东的房产证等相关证件，以防二房东。拍下水表，电表，燃气表底数。如果合租一定要注意安全，出门在外保护好自己。注意用水用电！
        ♦学会记账，每个月开销分门别类，比如分交通费、电话费、餐饮费、生活费、交际应酬费、服装费、学习费等，每一类设置上限。钱再少也要尽量分配在多元化用途上，不要轻易突破你设置的底线，挤占其它的开销。对于缺钱的人而言，管理住你钱的用途，其实就管住了你时间的用途。花呗借呗白条之类的能不用尽量不用
        ♦关于同事，你会遇到各种性格的同事，有些人会让你感到绝望，会两面三刀，大部分人在职场，都有很多说不出的委屈，不管別人怎么对你，你尽量做到对事不对人，同时要像优秀的同事学习。切记重要的事要形成文字记录，以防责任划分
        ♦关于爱情，进了社会工作，你的大学爱情才开始经受考验，不在一起，共同语言越来越少，你发现你无法提供TA想要的，坚持不了，分手不是坏选择，没什么，记得祝福TA能有一个更好的归宿。当然，祝有情人终成眷属！
        ♦关于领导，你遇到的领导也许能干，也许懦弱，进入职场发展好的人，往往不是进了一个好单位，而是遇到一个好领导。领导布置的工作，千万别按自己的想法去做，一定要找机会把自己的理解和领导确认一下，再去执行。做的过程中遇到困难，千万别害怕让别人知道自己搞不定，记住一句话：坏消息先汇报，还有人能帮你避免爆雷，否则拖到最后耽误了正事，反而更糟糕。
        但有一点要记住，不要听领导画饼，工作是单位的，生活才是自己的
        ♦关于跳槽，工作会遇到很多困难，如果一个单位还不是那么糟糕，请不要轻言离职，在一个单位耐心积累三年胜过在三年内更换六份工作，一个行业你需要三年的时间才能真正入门，但遇到拖欠工资的果断走
        ♦一定要要培养沟通能力、团结能力、协调能力，并坚持锻炼身体
        ♦遇到不公的待遇一定要维护自己应有的合法利益，要抵制酒桌文化",网络,,
就业优先级更大，因为实际的需求决定，而不是为了这碟醋包一盘饺子,,工作,,
工程实践和理论发论文是完全不一样的,,工作,,
前后端就是堆人力，堆工作量。并没有什么难度,,工作,,
"【李恒耿 字节测试开发
许永琪 腾讯测试岗】",,工作,,
"要不要跟风干一件事（或者决定干什么事情之前，如发小红书 dy）
那就要看这件事对你的长期是否有利（短期收益和远期收益）
权衡利弊之后在做选择
另外就是是否有足够的动力支持你去做（拍视频哪怕长期利好，但是你没有足够的素材和能力，也白搭） ",,个人提升,,
"永远不要在小众圈子里自嗨
优秀的东西永远是大众的，通俗易懂的，实打实的 ",,个人提升,,
作为管理人员，文字+合同+签章的约定不能没有，聊天记录没有说服力 ,,工作,,
认识到上流的人，你才可能成为上流的人 ,,人生规划,,
"黑马固然有，但是最后的赢家都是那些有积累的人
（央视农业郭嘉宁再就业，木上树梢，谭谈交通）",,个人提升,,
关于直播答疑：信息是没有复用性的（主播要回答一个问题n多次 不如文档） ,,网络,,
"你在卷，卷的过别人清北吗？
你只能挑别人剩下的吃
去做他们都看不起的事情 ",,个人提升,,
"8月2日结束实习
纯计算机已经没前途了
计算机+其他才是未来 ",,工作,,
太正经 太严谨的东西，在自媒体时代非常不好传播（因为需要相关知识背景而有这个背景的的人很少）反而部分不怎么需要知识的东西，易于传播，就会导致知识盲区,,工作,,
docs文档，不方便使用git管理（二进制文件）,,工作,,
只有那些专业不好的才要积极发展副业，好的专业只要做好你该做的事情，就已经够了....吗？,,工作,,
"有些人是先发优势，有些人是后起之秀（厚积薄发）
这两种人各有优劣吧
不要看不起任何一种 ",,工作,,
需求一定是来源于实际的/企业/等等,,工作,,
"宁当鸡头不当凤尾
但自己可能只是个鸡脖（bo）",,人生规划,,
KT泡沫板（临时宣传板材） ,,网络,,
"大部分年轻人 全是精致利己主义
少跟这种人交往
没有格局？啊",,交往,,
"acm的志愿里可以学习到算法知识hhh（送气球算法）
我们知道A掉一题会送一个气球，现要举行全国的ACM大赛，有M个学生和N个志愿者，志愿者又分为打印组、气球组。请合理排布志愿者让打印纸和气球尽快送到考生手中",,工作,,
职场里要的就是气质要的就是自信,,工作,,
"为什么有很多素质非常差的人偏偏能走上去呢？
参考《万历十五年》
考察很难根据实际能力和成绩，而大抵是视其人事应付是否得宜，而有其上下高低。文官对这种考核总是战战兢兢，因为一旦有一两句不良评语，这辈子可能就付之东流。而这个评语往往出自自己的上级，于是文官的主要精力便放在了讨好上级上面",,"网络, 工作",,
"未来可期，永远不要看不起别人，尤其是别人的未来。
习近平考察美国，38年前还是县长，38年后竟是主席！（2018）",,"个人提升, 人生规划",,
"什么时候该干什么事？
年轻的时候就开始养老？
局部最优解和全局最优解问题
先有一段付出 后期才有一段收获
这个投资回报是有周期的
投资过程中 自己会有很多怀疑等等",,人生规划,,
"怎么打游戏最有用？
维护一个社区社群，服务器 模组开发，管理群成员，有自己的优势/服务器等，特别是如果当技术岗",,"项目与产品, 网络",,
"项目的基本流程
自己做一个项目，写周报等等，怎么样写出文绉绉的话
自己参与项目，写贡献表，会议记录，贡献记录
周报日报",,工作,,
如果科技的成本（长期和短期成本）比传统的方式还高，那科技的意义在哪里？,,工作,,
"十年前创业，可以靠一个想法，先做起来，先拉客吸引流量，不赚钱没关系
现在你必须想：怎么样营销，做什么样的东西，抓住什么痛点，解决什么问题，怎么做转化 ",,"网络, 人生规划",,
"
个人开发者接外包，自己的三四个人小团队的重要性
现在小公司都是卸磨杀驴",,工作,,
"公司在意什么？
比较强的学习能力，能自己独立迭代，不断进步
国际化的视野和格局（往最好的看齐，要做就是行业领先）
第三个就是多面手，不止掌握单一的技能，能当一个复合型人才，才不会被轻易替代（娱乐型技能，提供情绪价值。硬性技能，提供商业物质价值） ",,工作,,
一些你之前没有的，后面有到不在乎的（比如钱）。就像童年和对童年的体验不可兼得，我们要尽量平衡收益和体验感受,,"个人提升, 人生规划",,
想要通过大厂三轮技术面，你的业务，技术，算法，架构，底层，基础，人格魅力和形象都要是完美的 ,,工作,,
要有 能在大火的时候急流勇退的能力。火到巅峰了 急流勇退也是一种智慧（不然自己晚节不保）,,人生规划,,
要掌握在大量信息里检索信息的能力,,个人提升,,
谁质疑谁举证 ,,网络,,
压力会导致失眠,,网络,,
吵架时分清楚“到底在说什么”，不要各说各的,,"个人提升, 生活",,
对销售，有时候满嘴谎话是好事，他们对你的态度会好很多（不要刻意装，想想有钱人/良好的群体）正常是什么态度,,生活,,
"酒后乱性，你永远不知道酒后会发生什么事情
你戒毒戒酒，就和戒熬夜 戒咖啡 戒奶茶 戒冲一样，所以不要接触时最好的",,生活,,
不要随大流，要有自己的目标，而且要为之努力,,人生规划,,
管理人员最重要的任务是解决科研人员不能大部分时间都投入干自己的事情的问题，也就是专业的人没法干专业的事,,工作,,
3/4岁就能决定一个人的性格,,"个人提升, 人生规划",,
初见&老友熟络一定会有比较频繁的接触,,交往,,
恋爱和出行，活动不应该是纯玩，而应该调用自己的人力物力，是有意义有价值的（调研）,,交往,,
"【交往的艺术】不要太提钱，在乎会导致很多事情
",,交往,,
【交往的艺术】不要无偿给予，建议make a deal：我花能力，你花时间。不做简单的同意或者拒绝，而是通过简单或者复杂、值得或者不值得的交易来让对面选择（把自己的选择权交给别人，不无偿）,,交往,,
很多时候出现意外的事情，不要太为难别人，只是因为没有预案，没有相关经验,,交往,,
情商 永远让自己冷场。因为自己心态好不怕，不会在意这种细枝末节,,交往,,
"
当你接触的事情很多，就不会在意很多一些扭扭捏捏的事情
要发就直接发要说就直接说，不犹豫来犹豫去的",,"个人提升, 交往",,
"专业的人干专业的事
不要让自己什么都干（比如找人负责演讲 写稿 宣传等）
用指标考核一下自己（属于小组中的哪个角色）",,工作,,
焦虑只会给你增加压力，不会真正解决问题,,"个人提升, 工作",,
和相同的人做不同的事，而不是和不同的人做相同的事,,交往,,
说的时候要早说！！直说（不要最后出问题了再说）不能藏着掖着，这不折腾别人吗,,"工作, 交往",,
不要和心眼小的人接触，会把你气的七窍流血,,交往,,
有礼貌+幽默+技术过硬+管理能力+别装，就是绝杀（有时候嘴甜一点）,,"交往, 个人提升",,
青马锻炼和培养人文素养和情商（跟优秀的人学习就好）,,"交往, 个人提升",,
努力成为自信 自强 自爱的人。自信最重要！,,"交往, 个人提升",,
人傻事多，越低级的群体，商学院，女生多的地方，都避免不了勾心斗角和一些可恶的人。,,交往,,
"心胸要开阔一点
物以类聚，人以群分",,交往,,
"学会挑战杯终审答辩，还有十分钟准备材料等诸如此类超高压力的事件面对
冷静+镇静+方法，就是好的结果。别人可能并不理解你的压力",,个人提升,,
谈话时不要玩尬的，有话就说没话就算,,交往,,
"【开会】其实开会，或者多个人在一起讨论并不能有效的解决问题
只能是各方利益的陈述，各方观点的输出
最后还是要一个人做决定",,工作,,
如果是【读研】理工科实验室，大概率遇到996导师，pua，上下班打卡，唯论文不实习,,学业,,
"读研自救方法：
永远不要按大纲走
研发岗的知识永远是上课期间不会学的，只有leetcode，github自己学。",,学业,,
"【不要按部就班 灵活打破规则】
不要硬刚，跟规则对抗（把老师老板特别恶意敌对）大家都有不容易的地方
不要太实诚，偷偷的干（明面上怎么样，暗地里要去干）",,"学业, 工作",,
"【灵活生病 原则】
评估收益，损失 不要有道德上的愧疚感，公司裁员你的时候，社会对你的要求的时候（压力 恶意 毕业压力 就业压力），他们有愧疚感嘛？",,"学业, 工作",,
"【可以善用复杂判断原则】
出让自己的部分利益（时间利益 金钱利益），比如一边生病请假，在空闲时间又主动加班，找补一下老板的核心利益诉求，让他模棱两可（瑕不掩瑜？）",,"工作, 学业",,
"【中庸之道】
太完美了容易招人恨，要让别人知道你有缺点（就这么样了）但是你也有你的优势与利益价值",,"学业, 工作",,
开放交流心态：对本专业本行业，还有别的专业别的行业的人积极的沟通自己的见解。不同领域的人不论是思维方式还是知识储备都有很大的差异，多交流可以有思维和认知的延展,,工作,,
"计算机入行要求：
编程技能（笔试/算法题/原理/八股文）
框架和技术，使用经验
耐心和拆解问题的能力（问题很深嵌套很复杂，困难很多）反复的磨练自己，这是一个很烦的处理自己心情的事情
技术岗位很在乎长期的技术积累，很难一次性搞定。要有长期主义",,工作,,
"每日话题：人人都选计算机，行业会不会饱和？
饱和不至于，但是预期收入肯定100%会降低，劳动市场是有供需平衡的关系的，廉价的刚毕业的，肯定不用40岁的老油条。不过各行各业都如此，谁也逃脱不掉。除非自己真的nb
99%的人最后都会归于平庸
你读法学，红圈所（n大律所）一年的校招人数可能都不如某个大厂某个专业岗位的招聘数量
有的专业平台大，有的专业平台小
你可以选只有干道顶尖5%才能吃上饭，有的人前30%就能吃的好饭
平台深度不一样",,工作,,
"以互联网行业举例（例子为产品经理）从用人单位的要求反推大学生涯时间线：
校招入职-大三要暑期实习（获得转正保底offer，秋招比较稳）
---大三寒假，春节后参加春招，如果是大厂实习，要求有1-2份实习经历
---假如大二大三都有课，无解
---大二大三寒暑假全利用上，去实习，勉强够格
---第一份实习一般都很难，需要包装，科学竞赛，实验室经历，包装简历，假装成岗位需要的样子
---在第一份实习前，也就是大二上，大一就要开始参加学科竞赛并获奖
---一般学科竞赛，大型比赛的国赛都在3-4月，校级比赛都在9-10月（大一刚入学）
常见问题：
实习太少
实习太晚
实习经历不对口（不垂直）",,工作,,
"复习到现在我觉得吧
做好二战心理准备≠一战不去拼命
我现在也在做二战的心理建设了",,学业,,
"
自媒体的时间无关性，劣质的自媒体会某一个选题重复重复做，然后不断的吸引粉丝（某个选题，只要优秀可以一直做，dy一直都会有人看，热度复现可用）",,其他,,
"年份经验（过去了n年）对人的影响是很夸张的
每年坚持学习一点技能（多才多艺？？）",,个人提升,,
你对某个目标的焦虑感里，其实隐藏着你的能力和天赋,,"人生规划, 个人提升",,
"考研十大痛苦
对自信心的打击，无力，审视自己，高考什么都有人讲，考研什么都靠自己
不要什么都想planb，有时候不需要那么多planb（更加勇敢一点吧 不要在这个时候保守了）
乱七八糟的事情会让你没那么勇敢，你对自己的提问（我该xx，）你自己其实回答不了
不要在未来遗憾 ",,学业,,
感情，从来不存在配不配 只有适合不适合,,交往,,
人生就是一个人的战斗，noboby 陪你,,人生规划,,
充分挖掘老师的资源，成为任意老师的二把手，老师的资源是无限的,,学业,,
营销永远是最难的问题,,工作,,
不要讲公平：大学就已经不是唯分数论，不是努力就有回报的了。,,个人提升,,
李子柒恢复更新：优质的独特的内容永远为王，一时的投机倒把永远不长久，也得不到人们的拥护,,网络,,
" 不要先做出来在优化，而是一开始就是最优解（优化也很费人力物理）。从很多种方案中找到一种即可，哪怕效率不高，完成就行。代码洁癖会让你的操作很慢",,工作,,
【面试缺点】缺点就是时间计划 没有经验，不会善用悲观和乐观估计。自己的失误对客户的打击是很沉重的,,工作,,
团队建设，一定要有一次破冰行动,,网络,,
"工作后，职业和公司都倾向于稳定
所以了解别人也更容易",,交往,,
一定要有刻意留参考文献，和保护版权的意识,,工作,,
技术更新迭代快的另一个说法就是，不够稳定，经常背刺 ,,工作,,
忠诚和专业谁更重要？忠诚。,,工作,,
每个人的睡眠周期，舒适的时间不一样。所以不要强行打破规律，按照规律来就行。按照自己舒服的周期来即可。累了就要休息，不要有羞耻感，每天状态不一样没关系（每次休息30min以内，简单躺一会就行）。生物钟不要乱，身体是有记忆的（比如我12：00-8：00，大约8h）,,生活,,
要有长期的技术积累的准备。,,工作,,
"考研英语全都是什么华盛顿邮报，经济学人等等
要理解美国议论文叙事逻辑",,学业,,
维权很累，而且往往没效果,,网络,,
不辩解，不解释，直接对骂往往损失最小，收益最高,,网络,,
宁愿牺牲一点编码效率，也要证明自己的工作留痕，便于讲故事,,工作,,
实际开发中，前端需要调用的接口，可能后端根本没写好，所以要有提前调试，自己写mockdata的能力,,工作,,
想赚钱就要当资本家，掌握生产关系，不直接进行生产，不断的利用剩余价值扩大再生产,,"个人提升, 人生规划",,
"“学校还规定大三上学期不能出校实习呢，现在秋招宣传的那些人，哪个不是大三翘课出去实习，然后第二段实习先人一步，找到大厂的”
规定就是搞笑的，不要太care
假如规定影响了你的利益，就想办法绕过规定（而不是死磕，对你没好处）",,"学业, 个人提升",,
"学技术会陷入“短视”处境，万一技术哪天淘汰了怎么办（3D打印为例）
学理论会陷入“没用”处境",,"人生规划, 个人提升",,
"凭什么别人都在喝酒抽烟，聚会打游戏的时候，我在备考学习，读研
我要拿和别人一样的工资？？",,学业,,
"维a目前很多护肤品在用，还是护肤届这两年的热门成分，“早c晚a”
维a酸虽然治疗很多种皮肤病，在痤疮，皮肤色素沉着，皮肤角质异常，去黑头粉刺等等功效显著，但是有致癌的可能，孕妇禁忌，可导致胎儿畸形",,网络,,
很多人工作之外都会私自偷偷搞钱，但是一没能力二没渠道,,"个人提升, 人生规划",,
"在某种方面上来说，编故事的能力比写代码的能力更重要
虚假的技术专家：架构达人，嘎嘎写代码
真正的技术专家：一开口就是人情世故",,工作,,
跟大人物，跨国大公司ceo交流，你送她任何礼物都不合适，所以就送diy的一个桌面小摆件,,"工作, 交往",,
年轻的导师就是爽，真的在指导学生。我硕导就是什么都有了，开题只是通知你要认真写就没了，毕业论文也是的，毕业论文他只看摘要和致谢，至于你写了什么他也不看。研究生期间真的是靠自己，老师提供的就是学术资源，让你能听各种大佬的学术报告，其他的怎么弄你得自己去做。,,学业,,
考研英语作文很考验平时积累，语料的丰富度,,学业,,
"科班和非科班在底层的理解上差异巨大，基础是否扎实决定了上限，应用能力决定了下限
为什么要存在科研，研究生。而不是纯企业",,"工作, 学业",,
因为以公司为代表的研究研发是以盈利为目的的，会忽视系统性风险（当一个方面的优化与提升难度很大，而当前已经不是瓶颈的时候，就不会优化，典型比如数据库和磁盘，系统）,,工作,,
但是科研和研究的问题就是不实用（目前计算机行业标准都是来自企业，windows系统，软硬件芯片，上层软件）,,"工作, 学业",,
"计组，几乎一切都可以软件实现，但是硬件实现在性能上更优
学编程永远不单只是编程，还有很多别的实践性质基础知识",,工作,,
"过去的行为和决策会对未来产生长期的影响，这种影响是单向且不易逆转
自己是否有长时间的计划，比如五年或者十年，把天空的星星全部点亮
时间的加法，虽然缓慢但很有力量",,"个人提升, 人生规划",,
"千万不要和最好的朋友合伙开公司
最后一定会因为利益不欢而散（没有追求才是最好的）",,工作,,
上班后下班空闲期间，是真的有机会积累自己（比如派克曾医生，每天九点下班还能有空录视频，做到100万粉丝）,,工作,,
"大人和小孩子最大的区别是什么？怎么建立自己的专业壁垒？避免边际效应递减？
（未来肯定是小孩哥横行，小孩子培养专业知识的能力非常强 学习非常快）",,工作,,
自然语言处理是一个很重要的方向（从一堆史山文字里提取有用信息）,,工作,,
胆子要大一点~~（法无禁止即可为）,,个人提升,,
一个团队里，有领袖和没领袖，有懂王和没有，领导力与没有真的差别很大,,工作,,
"教人赚钱的人才是最赚钱的行业；
最先入场的一拨人都赚到钱了，后面的人都是韭菜",,工作,,
"做小程序？流量哪来？怎么赚钱？
是不是在抢别人的活，能不能规模话盈利，DAU
你想做大生意？大项目？还是小生意小项目",,工作,,
"永远不要沉沦于小众的自嗨中
要选择那些几年后甚至几十年后，依然能拿得出手的，能对普罗大众说出来的一些事情
反面例子：游戏，xx成就；xx回忆；小众自嗨型
正面例子：创业，硬刚回形针改变政策等等",,"工作, 人生规划",,
"内耗严重的人一定要培养一个【成长型】爱好
需要时间和经历长期坚持才能看到结果的爱好，比如写作、演讲、绘画、烹饪、乐器、跳舞、穿搭、化妆、瑜伽、登山徒步骑行、游泳跑步、语言学习
喜欢做就去做，不用管别人说什么",,个人提升,,
"关注顶级期刊，学术前沿
同时关注行业现实、专业对应的行业【xx白皮书 xx报告】",,工作,,
gitee打开别人的开源代码都要注册，对于没有gitee的非开发者很不友好【尽量使用github】,,工作,,
我已经养成的好习惯：不管干了什么都顺手写个markdown文档记录一下，防止以后不知道自己干的是什么,,个人提升,,
"滴滴司机 外卖员
纯赚辛苦钱，没有提升（时间不会给你的未来有太大帮助）
身体是逐渐变差的",,人生规划,,
"需求导向学习
（先学个入门，然后根据需要继续学习即可）",,"学业, 工作",,
"前端体系化之后，有多恐怖？
项目必备四件套：
做好宣传最重要，外宣和对外营销，推销自己的能力最重要
项目本体展示（软件则为软件展示，最好能给用户交互，前后端，人工智能要有demo 抽象物体有ppt和动画/视频演示等等，前后端要有web地址部署，小程序，app要有下载链接，等等想尽办法）
项目介绍web（好看为主，类似企业展示或主页，有团队成员，我们是干什么的，作品是什么等等，大量图片展示，也可以是企业团队介绍）
（如果有必要，可以加入运维端，内部维护系统用的）
如果是开源项目，建议多写一个文档系统（方便交接，给别人运行部署和开发，合作起来也方便），比如vuepress，简化版的直接用md也行（可读性差，对外展示能力差）
当然，代码仓库/文件/ppt/word等等文字信息不能少",,工作,,
开源要保护好作者（上游信息）,,工作,,
"自己的开源作品一定要申请软著信息
如果有意商用，请不要开源（可以保留一个open的仓库）
",,工作,,
让小白参考文档来开发还是太难了（对高级开发者才要用文档，文档细而全但是需要很多background） ,,工作,,
"动手能力强不强：看电脑装各种环境熟不熟练（
这可不是说有教程就能装这么简单的，编程的环境那可是超级无敌复杂的，mysql，redis，javajdk）",,工作,,
"[20240910]
越垃圾的学校找的外包就越多（课程不合理，学生无法完成）
举例：唐子咏的前端课程，一点基础都没有就要完成这些大作业，最后肯定是外包",,"其他, 学业",,
吓一下没见过世面的人（用最低端的方法实现最高端的效果）,,工作,,
"nb的技术让别人猜想不到是怎么做的
永远关注新技术新方法前沿领域知识在生活和工作上的应用",,工作,,
"羊了个羊 游戏大火思考：
有时候质量不是第一，赚的盆满钵满，只需要舆论够好（省对比）有很好的传播力",,工作,,
人除了工作和学校/学习之外，自己说不清道不明的事情，就是爱好,,个人提升,,
"不要勉强不要为难，顺其自然。不要什么事情都上杠杆，用最大能调集的力量（生命除外）
杠杆太大会导致风险指数上升 ",,人生规划,,
让自己永远有活干，但是都得慢慢干（职场策略）,,工作,,
工作能力看不出明显区别，而待人处事和能力才快速分高下,,工作,,
"[小组作业]
个人大三，经历了无数次折磨的小组作业。现在看来我感觉要想有个好的结果必须要有：
一个能力很强的组长，组长的能力至少要远远超过组员（理工科，有全栈能力+管理经验。文科，有对选题的独到认知等等） 管理的人可以不做任何实际工作，只做任务下发。很多个优秀的人在一起反而容易相互扯皮",,学业,,
课设/毕设要有价值，要么就是能上生产环境，要么能打包卖钱,,学业,,
"考研给自己多留两年时间观察世界（重要！！）
考上研了要知道自己想要什么！ ",,人生规划,,
前端基础很重要，一定要练好来（哪怕用不上 八股也要背咯） ,,工作,,
"世界是个轮回（你看别人像小孩那样，但那只是你玩剩下的东西）
他们买鞋，疯狂的追求名表名鞋 苹果手机。但这其实是我小学的时候就已经玩剩下的了 ",,"网络, 个人提升",,
"每个人都是精致的利己主义者，只在乎自己的利益（ps：讨论一下利弊）
",,交往,,
"【转正答辩指导】
自己积极拉会
积极拉会讨论技术方案
讲解的事情不超过3件
背景一定要描述清楚
不要出现生僻，前后矛盾的内容
每页都要有重点，文字不能太多
其他工作给个list就好
特点
讲解的每件事情都要有特点
业务流程复杂
产品考虑有误，提出了改进方案
需要多方协作，推动较好
技术有挑战
收益（产品，研发）大
问题隐藏深，别人都没管
数据指标清晰明确
升华
有提炼升华的意识，不只是听安排做事
总结产品收益和问题，挖掘进一步的改进空间
提炼通用功能做成模块，服务
遇到的问题总结整理分享，让组内其他同学避免类似问题
总结技术点，剖析背后的原理
修改原有业务与技术架构，最后还能发现架构的问题
学习代码，模块，系统原理，最后能用这些原理解决其他问题（应用到解决方案里）
讲解建议
承上启下，注意衔接
深入浅出，让没怎么做过这一块的人也能明白
",,工作,,
"【模仿式学习】获取知识的方法：模仿性学习，创造性学习。
模仿性效率最高

模仿-实践-反思（重要）-反思既拆解问题
忽视反思的（关注错题）
忽视实践的（只刷学习方法不运用）
忽视模仿的（作业做不出就死磕）",,"个人提升, 工作",,
"提问和打招呼要有回答
不要傻愣愣的",,交往,,
不要陷入自己过去和别人相处的惯性 去相处现在的人,,交往,,
